iers_name,source_id
1101+384,763335402123160576
1226+023,3700386905605055360
0716+714,1111278502434316672
1254+571,1577113301057089664
2200+420,1960066225988786048
2155-304,6616660280724162688
1424+240,1254715738511038976
1553+113,4456196249421914624
1652+398,1352838630075616384
2043+749,2277830824488948608
1833+326,2091155809049639552
0405-123,3189105374395563264
1215+303,4013512389672203264
0219+428,339755075874658560
0430+052,3282513216501834880
0851+202,660820614442429056
2005-489,6667500981134955776
1718+481,1365900793853830144
0109+224,2791050863417322368
0208+106,72424525979524480
1222+216,3952378340577139456
1959+650,2247560101147313024
1302-102,3622979843899961472
1722+119,4540370805194960384
1845+797,2294218358105826432
0806+524,935595682689053312
1100+772,1128389102385082368
2128-123,6891264374916370304
0454-220,2973279728718524672
0506+056,3239205274549727488
1309+355,1473927673844171904
2251+158,2828719856907485056
1542+616,1639461348429154816
2201+315,1899428400235300608
0521-365,4822275862749577472
2251+113,2718410390777896576
1246+586,1578013182604935168
0742+318,881602755458418432
1418+546,1608689041624449536
0955+326,746772668199889536
1227+255,3960262766661145216
0003+158,2772557627594347904
0959+684,1070178860866225792
1011+496,846983979023105920
1219+285,4010020203303760640
0757+477,932909026026715008
0048-097,2474026167520609920
1803+784,2293842045955346176
2345+270,2865043426122340480
0017+257,2855670909833272576
1133+704,1062377413550022144
0637-752,5261519281893469568
1217+023,3700987479471195136
1721+343,1335705558855738624
1225+317,4015522743604478848
0332-375,4859506529056195584
1833+250,4536107002188395648
1538+477,1401110145472436992
0422+004,3254893965448113024
0321+340,125759532941980160
0044+030,2550891582308656640
1928+738,2264975124082451712
0134+329,316083930556737152
0241+622,465837105032855680
1331+170,3745628579272079616
1241+176,3935608623589796480
0810+646,1091852056117623936
1101-325,5402067138852820096
0829+046,3092416108553785600
1749+701,1638133859936940288
0118-272,5036556350991034368
0007+106,2753828099849995776
1727+502,1366729756901871104
2220-351,6598843759948223488
2141+175,1773954229213490176
2344+092,2759774705410731264
2145+067,2700779584387430016
0912+297,698721948482742784
0159-117,2461293681136044544
2007+777,2291355710864269824
1137+660,1056752930537522432
1545+210,1216220221517728000
1150+334,4027695642994307840
1510-089,6320281462554957184
0518+211,3414331878849395584
0743-673,5274130508466009344
0002+051,2742071537411222144
0206-178,5144317183526708480
0542-227,2963986965680656128
1136-135,3584915026225268608
1354+195,1246691708810048256
1055+567,856842200277126272
1056-113,3757027731713518336
0735+178,671322427957671168
1429+400,1487862952933883648
1011+250,726636590205957248
1902+556,2140895000667560064
1146+531,792438684637765760
1147+245,4004567896940093952
0954+658,1065521157812283392
2216-038,2627521907767413248
0622-645,5476948725428677376
2347+079,2758667978237768576
2151-152,6839233324319219072
2349-014,2641560953268302464
1919-166,4180963406388084480
1425+267,1256406684315518592
1736+324,4600965956152818560
0237-233,5125348030967198080
0524-460,4799084619899288832
2241+406,1932324585546572416
0305+039,2673466818523904
1055+018,3808373275462572800
2230+114,2730046556694317312
0014+813,566773097086885888
1619-680,5809076416137387520
0454-234,2972556043909927040
0355-483,4831563025151827072
0232-042,2495278696492575104
0738+313,880027808129832192
2344+514,1945016660584494208
0108-170,2358587823244736768
1143-696,5234037229288975872
1637+574,1430454702068334720
1909+268,2036483452361612416
1147+659,864641654727486848
0435-300,4878752346229853824
1250+532,1569757430828948736
2152-699,6395981017061683968
0312-770,4638902749442043904
1200-051,3595842007141999616
1541+050,4427805416081529344
0003+123,2766249969904286976
1200+608,1582257469286900224
1554-643,5822993931260093568
0448-392,4817873486911305472
1416+067,3673325789845977728
0214+083,2521717690532982272
0736-063,3055976643947742464
0959-443,5414860575124953600
0834-223,5702066962347118464
0636+680,1105880170923302912
0859-140,5732361698850971264
1805+220,4576447053022726912
2250+190,2835026037129822336
0736+017,3087152677675802752
0206-048,2491479162264016768
2324+151,2814304297395130624
1417-192,6283977925067872000
1727+386,1343515076414461440
1433-040,3648004453670051840
0625-354,5581432772795168768
0244-452,4945712466921948288
0426-380,4865661388990395264
2134+004,2688228556077120768
2209+184,1777870036796492928
1717+083,4395135485350020608
0005-239,2337107764084369280
1004-217,5666845859695917312
1156+295,4008143096437001216
1828+487,2120524073860930048
1856+737,2267787404245776000
0137-158,2452556588080289920
2115-305,6787605133066606464
1307-556,6066583104531461632
1435+638,1667101971238997248
0202-765,4637046842533931776
1717+490,1366200788729366272
1229-021,3693710877159936896
0454+039,3239286500971869056
0751+485,933952114667861632
0622-441,5567293534297414528
0119-046,2482544423402120192
1216-010,3694996309331660672
1013+014,3832316648690766976
0925-203,5677918560263178240
1741+196,4552250444218567680
0336-019,3250954002969129088
1103+023,3811474825966029312
0839+187,660927404509396224
2201+044,2696140813549252352
0404+065,3297163315589557504
2342-161,2418740420772715264
0559+422,960838236281876096
0836+710,1121593222876349696
1050+341,738148202070699392
2243-123,2604532558444562304
0402-362,4857855509267920640
1449-012,3650323426772297216
2208-137,2612268108077676032
0518-458,4799794011057558016
2326-477,6526555650725696256
0403-132,3188890454231856000
0537-158,2972032985612404736
0024+224,2800056963160468096
1252+119,3927853733720028800
0421+019,3279872395729874432
0754+100,3147336302046608384
2344+068,2756959886924102912
0346-163,5108169707972914304
1448-232,6230339860919290880
0446+074,3289021363265495680
0603+476,969524309420971392
1818+551,2149308429282044288
1215+113,3907282798876948736
0823-223,5697023601292768640
2249+402,1929670055238628608
1558-072,4349670374604470656
1317+520,1562824391541222400
0845-068,5754104820463176704
1038+064,3859450950691805696
1749+096,4488787487759666304
2331-240,2387208145275074176
1450+455,1586744782398683776
0830+425,915072061205861760
1548+114,1189547168940382464
0923+392,811655570910554752
0842-754,5216426317174691200
0210+515,358873143541331584
0122-003,2534055344867939584
1231+481,1543824487018566400
2240-260,6622807272278553216
2355+490,1939912006057110784
1756+237,4577793920400200192
2237+121,2730003465287208704
1759+756,1655893373611277696
1717+178,4547472344639754240
1938-302,6751456974619251712
2008-159,6874544105889170176
0454-463,4786973117065681024
1307+433,1526147501136922240
1104+167,3971145595313794432
0338-214,5088426567947507200
1635-141,4327083966226367104
1643+007,4383075324559438336
1437+374,1486413968406812288
0742+263,868889377383950848
1550+582,1625854617157111040
1656+053,4392588127364296576
0609+413,960134235305760896
1058+726,1075610787609686528
1032+382,754974608331300096
1020-103,3767469724922500352
