designation,bp_rp,mg
Gaia DR2 4539783936566461056,0.74716187,13.608095536628305
Gaia DR2 2812831909590865536,0.2838955,13.253649641210469
Gaia DR2 4071809698800279424,1.0083847,12.45208878411762
Gaia DR2 6778893049604377472,0.51058006,12.923529132592694
Gaia DR2 793545682392321280,0.17420006,12.599645931358022
Gaia DR2 3905239214784685568,0.3603363,13.338972798285578
Gaia DR2 1104070271706707968,0.4133892,13.691481015355958
Gaia DR2 179404288648220416,0.5386734,13.953544822660554
Gaia DR2 3647007776443511936,0.24283981,12.802628685195511
Gaia DR2 656040002307915520,0.18105316,12.796943363605923
Gaia DR2 6189456273388016000,0.7588196,13.876597400213054
Gaia DR2 230222925811813632,0.28430367,13.155949597389746
Gaia DR2 3182047604960357760,0.52275276,13.53616632226688
Gaia DR2 415088454353042816,0.28238678,12.909899526582112
Gaia DR2 6200538594680534272,0.30627823,13.006761527019922
Gaia DR2 4529547139715600000,0.41679955,13.364691147386484
Gaia DR2 2773377691470866048,0.37299538,12.853048826695499
Gaia DR2 3377629145629418240,-0.33670235,12.930409597580653
Gaia DR2 2659379256454476928,0.42476273,12.933979204469779
Gaia DR2 2344058047665585280,0.22901535,12.974662450589953
Gaia DR2 6540521402603730304,0.24932098,13.267716864433918
Gaia DR2 5400843932165800320,0.5474167,13.682051964479427
Gaia DR2 6513115766044043904,2.5616837,11.187414503057543
Gaia DR2 5450846147585885568,0.6304188,13.745872803736852
Gaia DR2 1002032126608099840,0.43102074,13.689028584711775
Gaia DR2 6143720820214473600,0.4646454,13.404622990882778
Gaia DR2 1834078548690477824,0.39152145,13.831009209043941
Gaia DR2 6793607710640068864,0.7091007,13.945069426321211
Gaia DR2 5101342290520261376,0.38484764,13.50191807825999
Gaia DR2 167805574845870208,-0.00810051,12.316060584891833
Gaia DR2 994934362439048576,0.23284721,13.212031356344575
Gaia DR2 6776675437730157568,0.34303284,13.117193006837017
Gaia DR2 387847572738587392,0.4447689,14.001099389976027
Gaia DR2 6174650627765201024,0.3847065,12.725693206598734
Gaia DR2 3466029983577966592,0.5918045,13.291187307681671
Gaia DR2 1906205579451157248,0.29327393,13.521425349119653
Gaia DR2 3195524765658741760,0.48666,13.651016938913795
Gaia DR2 6802676658640459136,0.84179306,14.427410456988383
Gaia DR2 6634124721564531328,0.60998154,13.618439730496775
Gaia DR2 4483035083440142208,1.0642738,12.300888000909524
Gaia DR2 3683951298417522944,0.25219345,11.90043571128935
Gaia DR2 2973502856562567040,0.28769302,13.64933131085985
Gaia DR2 809429845842026752,0.6742878,13.774687951821868
Gaia DR2 5060981997506604032,0.31445694,13.384236623859241
Gaia DR2 1754027642543325312,0.39649963,13.322586127598228
Gaia DR2 4015731135417769088,0.64233017,13.816028616178855
Gaia DR2 3910016150423697152,0.5893612,13.513060164157409
Gaia DR2 6574321283394513664,0.2292881,12.978443682947251
Gaia DR2 2857825574666171392,0.28624725,13.493037353664647
Gaia DR2 6001353993068669952,0.43336868,14.00061586074225
Gaia DR2 819942173435780096,0.17450142,12.620088386917775
Gaia DR2 5812880485838133120,0.823925,14.128223447609326
Gaia DR2 2937732238619573248,0.41953087,13.635056043311486
Gaia DR2 6635592466501607040,0.4903431,13.182511853006908
Gaia DR2 2994891656259053568,0.40462112,13.180729116362293
Gaia DR2 5446813168999091584,0.78474426,13.492171902164127
Gaia DR2 1902598253598809856,0.55451584,13.537591427684262
Gaia DR2 3180707781322341120,0.5274811,13.140506043938927
Gaia DR2 1300456586162759936,0.43601418,13.356254450060597
Gaia DR2 4231759224379842560,0.20981026,13.000557609021897
Gaia DR2 485201390277523584,0.50096893,13.693076794330501
Gaia DR2 5918577874349246336,0.6074219,13.334134490341796
Gaia DR2 144216308786208640,0.49036407,13.600447918469502
Gaia DR2 2773737536714031872,0.17480278,13.20956472401086
Gaia DR2 215322619107645952,0.40913582,12.911293216705054
Gaia DR2 6458741686234849280,0.52001,13.447629630360968
Gaia DR2 930572765679969792,0.38389206,13.631998058575054
Gaia DR2 6860640158582341760,0.45303535,13.73631632462076
Gaia DR2 1087982290582162816,0.46123505,13.858836562951108
Gaia DR2 637184958439473920,0.28743744,13.333545161754593
Gaia DR2 545252351699985920,0.4046116,13.388233773491159
Gaia DR2 459411795292622592,0.23347282,13.44964575493755
Gaia DR2 279419474083511808,0.45565605,13.256009797218166
Gaia DR2 3252646250146838400,0.6423645,13.249562810339302
Gaia DR2 6678171049991273344,0.4655838,13.963251063279078
Gaia DR2 808866105615063296,0.85494804,14.190548797981506
Gaia DR2 110863555565343360,0.62992287,13.467656591523834
Gaia DR2 972069811981716864,0.52438736,13.636649687564692
Gaia DR2 946344160468841856,0.120342255,12.204247311829267
Gaia DR2 1116369065175374720,0.5119629,13.4264211190088
Gaia DR2 273662980957748352,1.0709076,13.554091287852245
Gaia DR2 3935482415975408256,0.2991047,13.488524535738673
Gaia DR2 3287849936704291456,0.48140335,13.358342222032448
Gaia DR2 4386037301508360448,1.2259998,12.845834587613176
Gaia DR2 3207534529306910720,-0.06248665,-2.685812826247422
Gaia DR2 4238885605913856128,0.6392937,13.59884678332659
Gaia DR2 958660133808964736,-0.002954483,12.385336121543538
Gaia DR2 3535829043293691392,0.6741619,14.053465146729906
Gaia DR2 2376504090340690944,0.48311996,13.346011231434222
Gaia DR2 6514020492315322112,2.888857,12.096920727393279
Gaia DR2 6151742990194194176,0.70368767,13.690650277825696
Gaia DR2 79008191153137920,0.32234955,14.066132907895216
Gaia DR2 6068667538040053632,1.6136475,11.488033030892048
Gaia DR2 5646014649841600256,0.8005371,14.082466830416692
Gaia DR2 4458158667221041664,0.27671814,13.689022773193113
Gaia DR2 3192046086963380608,0.6126785,13.403806034085274
Gaia DR2 155814953868232320,0.28256798,12.354989648896233
Gaia DR2 700078878974622208,0.4049225,13.888130770991616
Gaia DR2 6590193008621638016,0.2491188,12.893070888054908
Gaia DR2 1193867523784128128,0.3982525,13.455975676705638
Gaia DR2 649163347350787200,0.59609985,13.058979467266031
Gaia DR2 3703659803827246720,0.4912262,13.282341407248627
Gaia DR2 4189276637703540864,0.66962624,13.296728607136359
Gaia DR2 6873371785976145152,0.33265114,13.571515295281102
Gaia DR2 1884105945488862720,0.46346855,13.375647907394889
Gaia DR2 2548794946777810176,0.7370167,13.490435402974036
Gaia DR2 2367248641977121152,0.28570747,13.220171434571121
Gaia DR2 2315021663563150208,-0.07811165,12.710496072441618
Gaia DR2 6075326249177786752,1.0526695,13.500272971201145
Gaia DR2 1100572690856613376,0.63194466,14.226668932011084
Gaia DR2 3517979399729279744,1.7041512,13.008866745143415
Gaia DR2 5031697536092552576,0.20326614,13.497413648029184
Gaia DR2 175072968748958976,0.5302868,13.195314119888486
Gaia DR2 2871059399698418816,0.21593475,13.3489310138517
Gaia DR2 1021670499497142272,0.6806774,14.086861557367804
Gaia DR2 2970462363314265600,0.4258995,13.716550397653425
